Subject_Num,GroupCount,mean_TransPerTrial_conj,mean_TransPerTrial_summ,mean_NumFixPerTrial_conj,mean_NumFixPerTrial_summ,mean_AveFixDur_conj,mean_AveFixDur_summ,mean_Dur_conj_Att1,mean_Dur_conj_Att2,mean_Dur_conj_NoAtt,mean_Dur_conj_Symm,mean_Dur_summ_Att1,mean_Dur_summ_Att2,mean_Dur_summ_NoAtt,mean_Dur_summ_Symm
430,4,1.75782828282828,1.75568181818182,4.27083333333333,4.83333333333333,397.906121632997,406.739820075758,958.982828282828,746.493686868687,102.955303030303,0.532114384729313,869.418560606061,848.753787878788,107.299242424242,0.526116809937651
431,4,0.895833333333333,1.30681818181818,6.41666666666667,6.60416666666667,268.900455967643,306.728495983184,926.8125,550.229166666667,196.895833333333,0.301630772556062,730.753787878788,743.007575757576,396.0625,0.528063958228942
432,4,0.945075757575758,1.29734848484848,6.4375,5.70833333333333,263.873044432419,325.562161044974,682.621212121212,320.920454545455,656.039772727273,0.455552605995063,988.551136363636,454.280303030303,246.435606060606,0.499110479941642
433,4,2.35416666666667,2.04166666666667,8.20833333333333,7.875,231.800658369408,259.952116402116,585.020833333333,673.333333333333,593.854166666667,0.768153113631456,1008.20833333333,728.125,270.916666666667,0.699886528935866
434,4,2.875,2.25,6.39583333333333,6.4375,341.631225198413,332.407589285714,1045.5,762.104166666667,267.708333333333,0.69535075176946,882.6875,1039.25,170.75,0.794069591669775
435,4,1.95833333333333,1.29166666666667,5.70833333333333,6.27083333333333,159.971277507215,188.757664442039,555.708333333333,328.833333333333,10,0.524946064530111,576.4375,506.645833333333,82.3541666666667,0.627316319474823
436,4,1.45833333333333,1.29166666666667,5.02083333333333,4.47916666666667,398.779768668831,449.514087301587,1212.4375,515.375,112.041666666667,0.510957409010133,1332.14583333333,566.0625,1.0625,0.438499546845029
437,4,3.5625,3.125,7.02083333333333,6.97916666666667,298.648969606782,313.652641687017,803.354166666667,911.5,299.229166666667,0.704640885410266,971.270833333333,1009.45833333333,94.1875,0.760587425836832
438,4,2.01704545454545,1.66666666666667,5.70833333333333,6.45833333333333,338.980761483886,310.177077320827,697.727272727273,793.827651515152,374.651515151515,0.567270425811002,698.5625,744.1875,454.020833333333,0.610750162449975
439,4,2.16666666666667,1.58333333333333,5.72916666666667,5.8125,374.170436507936,357.13771494709,1109.20833333333,892.083333333333,32.875,0.742871708728586,897.729166666667,987.791666666667,90.0208333333333,0.693018643300746
440,4,1.64583333333333,2.08333333333333,5.29166666666667,6.4375,341.10128968254,344.26179728836,872.895833333333,807.645833333333,82.5625,0.652859979002361,1010.10416666667,990.604166666667,86.1041666666667,0.71023372390313
441,4,1.41666666666667,1.16666666666667,4.91666666666667,4.70833333333333,403.757266865079,449.632018849206,430.1875,988.666666666667,436.125,0.476933191670054,843.5,852.333333333333,284.333333333333,0.703443120080448
443,4,1.27083333333333,1.0625,9.6875,9.22916666666667,238.395701908386,261.304601352487,406.395833333333,483.729166666667,1284.60416666667,0.324631209617736,331.3125,573.520833333333,1215.08333333333,0.336674586066603
444,4,0.642045454545455,0.779545454545455,3.95833333333333,4.95833333333333,473.998272907648,404.617953042328,654.899621212121,681.780303030303,403.482954545455,0.338887616635202,935.328409090909,621.479166666667,336.473106060606,0.452928013779512
446,4,1.85984848484848,1.54166666666667,6.77083333333333,7.125,290.02396817198,271.721403769841,718.495833333333,661.997348484849,582.45,0.589705741578624,532.541666666667,838.75,512.708333333333,0.542078021149347
447,4,1.66666666666667,1.67045454545455,6.3125,6.89583333333333,265.822726521164,243.907129329004,990.5625,527.8125,95.2916666666667,0.422718771371741,542.42803030303,798.460227272727,276.382575757576,0.52727094554103
448,4,1.91666666666667,1.95833333333333,5.70833333333333,5.95833333333333,363.084871031746,327.81455026455,771.020833333333,1133.14583333333,78.4375,0.643216422043333,1114.0625,775.041666666667,15.4583333333333,0.654200113156775
454,4,0.4375,0.570075757575758,6.5625,8.95833333333333,308.868101343101,255.103787878788,515.916666666667,186.416666666667,1180.66666666667,0.244192437993408,233.159090909091,367.818181818182,1446.60606060606,0.307187803974212
